Id,PaperId,AuthorId
1,5677,7956
2,5677,2649
3,5941,8299
4,5941,8300
5,5941,575
6,6019,8419
7,6035,8437
8,6035,8437
9,6035,8438
10,5978,8366
11,5978,8367
12,5978,8368
13,5978,2459
14,5714,8012
15,5714,5637
16,5714,3555
17,5714,8013
18,5937,8068
19,5937,2139
20,5802,8130
21,5802,8131
22,5776,8090
23,5776,4225
24,5814,6551
25,5814,8142
26,5814,7243
27,5814,3537
28,5814,7986
29,5814,6338
30,5638,7875
31,5638,7876
32,5638,7398
33,5638,7877
34,5971,8354
35,5971,5143
36,5971,5146
37,5971,8355
38,5830,8151
39,5830,7158
40,6002,8395
41,6002,5193
42,5780,8096
43,5780,8097
44,5780,5207
45,5780,4274
46,5780,6308
47,5766,8075
48,5766,6426
49,5790,5030
50,5790,8115
51,5790,3422
52,5973,5030
53,5973,8358
54,5973,8359
55,5973,8041
56,5973,3516
57,5973,1670
58,5864,8197
59,5681,7961
60,5681,7962
61,5753,8059
62,5753,5163
63,5857,4503
64,5857,6523
65,5848,8180
66,5848,5335
67,5848,4933
68,5848,2458
69,6032,7451
70,5719,4355
71,5719,8017
72,5719,7079
73,5768,8078
74,5768,8079
75,5778,8094
76,5778,4613
77,5778,6455
78,5912,8278
79,5912,8279
80,5972,8356
81,5972,8357
82,5633,7865
83,5633,7866
84,5633,2385
85,5747,8049
86,5747,8050
87,5747,7307
88,5747,8051
89,5876,6631
90,5876,8223
91,5876,1965
92,5876,6413
93,5781,4933
94,5781,4368
95,5781,5200
96,5781,2458
97,5710,4519
98,5710,5623
99,5710,5587
100,6023,8423
101,6023,6360
102,6023,8424
103,6023,8425
104,5996,8387
105,5996,6834
106,5996,8388
107,5996,3110
108,5742,8044
109,5742,2732
110,5742,6798
111,5807,5197
112,5807,4943
113,5807,2708
114,5807,4227
115,5998,8264
116,5998,8142
117,5998,7413
118,5930,7422
119,5930,3569
120,5930,4262
121,5791,8116
122,5791,4132
123,5791,8117
124,5791,7207
125,5952,8311
126,5952,5372
127,5952,8312
128,5952,618
129,5728,8025
130,5728,3724
131,5905,8270
132,5905,4285
133,5905,1568
134,5911,8276
135,5911,5059
136,5911,7509
137,5911,3110
138,5911,8277
139,6011,8407
140,6011,1568
141,6011,4285
142,5829,5542
143,5829,2784
144,5644,7886
145,5644,7887
146,5644,7888
147,5644,7889
148,5644,7890
149,5644,4379
150,5644,4509
151,6008,8402
152,6008,8403
153,6008,8404
154,6008,8405
155,5787,8108
156,5787,8109
157,5787,5553
158,5787,8110
159,5986,7269
160,5986,8379
161,5986,4023
162,5986,6399
163,5855,8185
164,5855,8186
165,5855,8187
166,5855,4240
167,5855,4339
168,5855,4241
169,5879,7424
170,5879,8227
171,5879,3963
172,5879,8228
173,5734,8030
174,5734,8031
175,5702,6310
176,5702,7993
177,5702,3559
178,5925,7161
179,5925,7651
180,5654,7912
181,5654,7913
182,5654,3538
183,5654,4596
184,5654,7914
185,5654,3539
186,5654,7915
187,5671,7946
188,5671,6335
189,5671,7161
190,6021,8420
191,6021,8421
192,5892,8250
193,5892,7161
194,5892,3668
195,5836,7524
196,5836,2319
197,5992,8380
198,5992,8381
199,5733,5638
200,5733,7154
201,5733,3555
202,5758,8063
203,5758,8064
204,5758,8065
205,5758,6452
206,5847,8177
207,5847,8178
208,5847,8179
209,5847,7192
210,5847,178
211,5771,5404
212,5771,3087
213,5771,6369
214,5994,8268
215,5994,7319
216,5994,8385
217,5994,5123
218,5903,7319
219,5903,8268
220,5903,8269
221,5903,5123
222,5977,8364
223,5977,8365
224,5977,8110
225,5977,3388
226,5977,6717
227,6003,8396
228,6003,8397
229,5896,8257
230,5896,3894
231,5788,8111
232,5788,8112
233,5788,6406
234,5782,8098
235,5782,8099
236,5782,200
237,5662,7930
238,5662,7931
239,5662,7932
240,5662,7933
241,5662,7934
242,5721,8019
243,5721,7335
244,5721,6446
245,5721,6446
246,5906,8271
247,5906,8272
248,5761,8067
249,5761,8068
250,5761,200
251,5709,8002
252,5709,8003
253,5988,7424
254,5988,3963
255,6001,8393
256,6001,8394
257,6010,8349
258,6010,3906
259,6010,4671
260,5969,8349
261,5969,8350
262,5969,4671
263,5969,4601
264,5969,3906
265,5743,8045
266,5743,7264
267,5873,8218
268,5873,8219
269,5707,8000
270,5707,3387
271,5901,8264
272,5901,8142
273,5901,8265
274,5901,7413
275,5716,8015
276,5716,4286
277,6025,8428
278,6025,3630
279,6025,2093
280,5962,7132
281,5962,8333
282,5962,5713
283,5955,8318
284,5955,8319
285,5955,3567
286,5955,1323
287,5955,8320
288,5955,8321
289,5699,7989
290,5699,7990
291,5699,4730
292,5699,7307
293,5837,8165
294,5837,3823
295,5657,6613
296,5657,1020
297,5867,8202
298,5867,8203
299,5927,8293
300,5927,8003
301,5651,7903
302,5651,7190
303,5651,7904
304,5651,7905
305,5651,7906
306,5651,7907
307,5926,8291
308,5926,8292
309,5926,1901
310,5907,4762
311,5664,7938
312,5664,7939
313,5664,7940
314,5805,2678
315,5805,8136
316,5805,8137
317,5774,7485
318,5774,7484
319,5774,8087
320,5774,8088
321,5812,6734
322,5812,2850
323,5849,6392
324,5849,1901
325,5980,8370
326,5980,8371
327,5980,8372
328,5634,7867
329,5634,7868
330,5634,3841
331,5981,8373
332,5981,7474
333,5890,5540
334,5890,5539
335,5890,8247
336,5890,8041
337,5890,2650
338,5931,7451
339,5931,1989
340,5931,6449
341,5785,8105
342,5785,8106
343,5785,6308
344,5948,5575
345,5948,1661
346,5944,7526
347,5944,7525
348,5944,6548
349,5944,5282
350,5991,7526
351,5991,6279
352,5991,4037
353,6000,3906
354,6000,6597
355,6000,3304
356,5902,8266
357,5902,8267
358,5902,2108
359,5902,6862
360,5819,8148
361,5819,8051
362,5819,8050
363,6027,8429
364,6027,3569
365,6027,8430
366,6027,8431
367,5789,8113
368,5789,8114
369,5999,8392
370,5999,7267
371,5999,6369
372,5997,8210
373,5997,8389
374,5997,8390
375,5997,2966
376,5997,8391
377,5878,8224
378,5878,2978
379,5878,4348
380,5878,8225
381,5878,8226
382,5920,8286
383,5920,7154
384,5920,3555
385,5920,8287
386,5921,3963
387,5921,2572
388,5921,6558
389,5921,3620
390,5639,7878
391,5639,7879
392,5639,1946
393,5639,3292
394,5865,2037
395,5865,8198
396,5865,8199
397,5862,8193
398,5862,8194
399,5862,2692
400,5862,6883
401,5862,8195
402,5820,3906
403,5820,3304
404,5784,8101
405,5784,8102
406,5784,8103
407,5784,8104
408,5740,7140
409,5740,8041
410,5793,8119
411,5793,8064
412,5793,6452
413,5749,8053
414,5749,8054
415,5749,2744
416,5749,7483
417,5956,350
418,5956,5571
419,5956,8201
420,5956,8322
421,6022,8422
422,6022,5303
423,6022,1501
424,5898,8260
425,5898,8044
426,5898,2732
427,5898,6798
428,5661,6438
429,5661,7929
430,5661,6439
431,5888,8138
432,5888,8244
433,5888,6338
434,5750,6408
435,5893,8251
436,5893,8252
437,5893,8253
438,5893,8254
439,5893,8011
440,5951,8309
441,5951,8310
442,5951,200
443,5934,6650
444,5934,8171
445,5934,8295
446,5845,7879
447,5845,3967
448,5845,8175
449,5845,3292
450,5704,7531
451,5704,6406
452,5704,7994
453,5833,8161
454,5833,8162
455,5838,6323
456,5838,2784
457,5736,8035
458,5736,8036
459,5736,8037
460,5736,6409
461,5985,8376
462,5985,8377
463,5985,2628
464,5985,8378
465,5985,7239
466,6028,8432
467,6028,7669
468,5691,7980
469,5691,7501
470,5691,3212
471,5816,4783
472,5816,5558
473,5816,6740
474,5975,8361
475,5975,8362
476,5975,3341
477,5975,6628
478,5692,6583
479,5692,7981
480,5692,6333
481,5942,6687
482,5942,758
483,6033,8436
484,6033,4684
485,6033,6449
486,5828,8156
487,5828,8157
488,5828,6507
489,5779,8095
490,5779,5308
491,5670,6504
492,5670,6503
493,5670,5318
494,5670,7945
495,5670,4023
496,5735,8032
497,5735,8033
498,5959,7477
499,5959,2797
500,5959,7478
501,5959,4351
502,5665,7941
503,5665,3546
504,5815,8143
505,5815,8144
506,5695,5417
507,5695,1965
508,5695,5418
509,5755,8062
510,5755,6457
511,5755,6338
512,5722,2628
513,5722,6418
514,5722,8020
515,5722,6449
516,6020,6464
517,6020,6644
518,6020,6449
519,5923,8289
520,5923,7145
521,5923,3309
522,5923,2093
523,6034,5077
524,6034,7331
525,5773,7566
526,5773,8085
527,5773,8086
528,5773,2794
529,5858,8189
530,5858,8190
531,5858,7598
532,5870,6526
533,5870,8208
534,5870,178
535,5682,7963
536,5682,7964
537,5682,6586
538,5682,7965
539,6014,7145
540,6014,8289
541,6014,2093
542,6014,8411
543,6031,8435
544,6031,3453
545,6031,7222
546,6007,8401
547,6007,4867
548,6013,8018
549,6013,7154
550,6013,4113
551,6013,3555
552,5798,5586
553,5798,8125
554,5798,7959
555,5720,8018
556,5720,4113
557,6005,8398
558,6005,2091
559,6005,1559
560,5718,3630
561,5718,7331
562,5718,6342
563,5863,8196
564,5863,1431
565,5863,709
566,5724,7432
567,5724,8024
568,5976,8363
569,5976,6461
570,6015,3011
571,6015,4585
572,5688,6684
573,5688,6624
574,5875,5588
575,5875,8221
576,5875,8222
577,5875,1020
578,5936,6400
579,5936,8296
580,5936,3011
581,5667,5657
582,5667,5656
583,5667,7942
584,5667,7943
585,5817,8145
586,5817,8146
587,5817,4388
588,5817,4389
589,5856,8188
590,5856,549
591,5945,7898
592,5945,8303
593,5945,7897
594,5945,8304
595,5945,8305
596,5945,7899
597,5945,3916
598,5894,8255
599,5894,1019
600,5922,8288
601,5922,5686
602,5904,2313
603,5886,5636
604,5886,8237
605,5886,8238
606,5886,6620
607,5886,4400
608,5794,8120
609,5794,6399
610,5882,8232
611,5882,8233
612,5882,6443
613,5731,8029
614,5731,3602
615,5967,8341
616,5967,8342
617,5967,8343
618,5967,4475
619,5967,8344
620,5967,8345
621,5967,8346
622,5967,2095
623,5822,8149
624,5822,8150
625,5822,6485
626,5806,7421
627,5806,8138
628,5806,6338
629,5806,2132
630,6024,8426
631,6024,8427
632,6024,4568
633,5884,7633
634,5884,7636
635,5687,7974
636,5687,7975
637,6018,8416
638,6018,8417
639,6018,8418
640,5648,7897
641,5648,7898
642,5648,7899
643,5648,3916
644,5958,8324
645,5958,6461
646,5958,8325
647,5958,3841
648,5943,8301
649,5943,8302
650,5943,2539
651,5963,8334
652,5963,8335
653,5963,8336
654,5963,1141
655,5803,8132
656,5803,7461
657,5803,8133
658,5803,8134
659,5916,8283
660,5916,8284
661,5916,3138
662,5777,8091
663,5777,8092
664,5777,8093
665,5800,8128
666,5800,4314
667,5897,8258
668,5897,8259
669,5897,7125
670,5818,4356
671,5818,8147
672,5818,7310
673,5769,8080
674,5769,8081
675,5769,8082
676,5769,7165
677,5637,5667
678,5637,2385
679,5705,7995
680,5705,7996
681,5744,8046
682,5744,8047
683,5744,3758
684,5754,7318
685,5754,8060
686,5754,6268
687,5754,7967
688,5754,2173
689,5754,3161
690,5673,7951
691,5673,7952
692,5673,1357
693,5910,8275
694,5910,2336
695,5685,7438
696,5685,7970
697,5685,5539
698,5685,2650
699,5852,8183
700,5852,2141
701,5852,7400
702,5966,7685
703,5966,6582
704,5966,7370
705,5966,3001
706,6004,7350
707,6004,4356
708,6004,7351
709,5854,8184
710,5854,6376
711,5854,2581
712,5854,7564
713,5701,7317
714,5701,7992
715,5701,3072
716,6012,8408
717,6012,8409
718,6012,8410
719,6012,4217
720,5767,8076
721,5767,8077
722,5767,3125
723,5767,3605
724,5679,3599
725,5679,5142
726,5679,7958
727,5679,4580
728,5679,7959
729,5738,4931
730,5738,3294
731,5953,5067
732,5953,6376
733,5953,7405
734,5953,7564
735,5881,8231
736,5881,2187
737,5723,8021
738,5723,8022
739,5723,8023
740,5746,4768
741,5746,8048
742,5938,6320
743,5938,8297
744,5938,6369
745,5938,6368
746,5831,8158
747,5831,8159
748,5831,6653
749,5831,7630
750,5668,4022
751,5668,7298
752,5880,8229
753,5880,8230
754,5762,521
755,5762,7152
756,5982,5534
757,5982,8374
758,5982,4283
759,5799,8126
760,5799,8127
761,5799,1925
762,5697,7985
763,5697,7986
764,5913,6639
765,5913,3555
766,5913,1901
767,5946,8306
768,5946,3136
769,6030,4782
770,6030,8434
771,6030,3304
772,5935,7455
773,5935,5303
774,5935,6369
775,5712,7348
776,5712,8009
777,5712,8010
778,5712,2108
779,5712,6335
780,5954,4917
781,5954,8313
782,5954,8314
783,5954,8315
784,5954,8316
785,5954,8317
786,5954,3862
787,5706,7997
788,5706,6347
789,5706,7998
790,5706,7999
791,5706,2747
792,5676,7955
793,5676,6722
794,5676,4344
795,5676,2410
796,5676,6274
797,5711,8004
798,5711,8005
799,5711,8006
800,5711,4137
801,5711,8007
802,5711,8008
803,5957,7252
804,5957,7253
805,5957,8323
806,5885,8235
807,5885,8236
808,5696,7235
809,5696,4524
810,5696,3001
811,6006,8399
812,6006,8400
813,6006,4456
814,5641,7881
815,5641,7212
816,5641,7882
817,5641,7883
818,5641,4134
819,5641,4027
820,5919,969
821,5919,8285
822,5919,7161
823,5919,6486
824,5984,7147
825,5984,7148
826,5984,8375
827,5760,8066
828,5760,6612
829,5760,7449
830,5932,5442
831,5813,7137
832,5813,6637
833,5813,3161
834,5993,8382
835,5993,6643
836,5993,5305
837,5993,6521
838,5993,8383
839,5993,8384
840,5840,8168
841,5840,4116
842,5917,7160
843,5917,7344
844,5917,6366
845,5917,6369
846,5917,6368
847,5850,6577
848,5850,8181
849,5850,583
850,5871,8209
851,5871,8210
852,5871,7864
853,5871,2966
854,5871,8211
855,5871,3605
856,5968,8347
857,5968,8332
858,5968,8348
859,5968,1020
860,5663,7935
861,5663,7936
862,5663,4513
863,5663,7937
864,5659,7928
865,5659,2384
866,5797,6514
867,5797,2816
868,5797,5014
869,5933,7269
870,5933,5236
871,5933,6399
872,5846,8176
873,5846,8086
874,5846,1912
875,5846,2794
876,5649,7900
877,5649,5274
878,5649,3862
879,5725,2724
880,5725,3630
881,5725,3631
882,5725,7459
883,5655,7916
884,5655,7917
885,5655,4452
886,5655,6582
887,5655,3001
888,5652,4506
889,5652,7908
890,5652,2160
891,5650,7901
892,5650,7902
893,5650,347
894,5960,8326
895,5960,8327
896,5960,8328
897,5960,8329
898,5960,3039
899,5960,8330
900,5960,8331
901,5960,3862
902,5656,7918
903,5656,7919
904,5656,4074
905,5656,7920
906,5656,7921
907,5656,7922
908,5656,7923
909,5656,7924
910,5656,7925
911,5656,7926
912,5974,8360
913,5974,4993
914,5914,7154
915,5914,5348
916,5914,8280
917,5914,3555
918,6026,2319
919,6026,7427
920,5851,6306
921,5851,8182
922,5851,4400
923,5851,6308
924,6017,8414
925,6017,6320
926,6017,8415
927,5730,4876
928,5730,7143
929,5730,6348
930,5730,6448
931,5713,7127
932,5713,5305
933,5713,8011
934,5811,3557
935,5811,8141
936,5861,6545
937,5861,2816
938,5861,6301
939,5861,1370
940,5703,5404
941,5703,3087
942,5908,8273
943,5908,6736
944,5983,3336
945,5961,8332
946,5961,1020
947,5961,7449
948,5678,6621
949,5678,7957
950,5821,4851
951,5821,7951
952,5821,2850
953,5821,7509
954,5821,6548
955,5868,5174
956,5868,8204
957,5868,8205
958,5868,8206
959,5868,6322
960,5737,8038
961,5737,2572
962,5717,8016
963,5717,6471
964,5717,3055
965,5717,7222
966,5717,7222
967,5853,6767
968,5853,1523
969,5866,5571
970,5866,8200
971,5866,8201
972,5915,8281
973,5915,8282
974,5970,8351
975,5970,8352
976,5970,8353
977,5824,8152
978,5824,8153
979,5824,6995
980,5686,7971
981,5686,7972
982,5686,7973
983,5686,7447
984,5751,8055
985,5751,8056
986,5751,8057
987,5751,4638
988,5964,8337
989,5964,8215
990,5964,8338
991,5964,1453
992,5939,6589
993,5939,3606
994,5939,6464
995,5939,2139
996,5939,710
997,5889,8245
998,5889,6685
999,5889,6685
1000,5889,7447
1001,5889,8246
1002,5889,6308
1003,5635,5571
1004,5635,7869
1005,5635,7870
1006,5635,3753
1007,5635,3959
1008,5635,7871
1009,5726,4931
1010,5726,3294
1011,5726,2732
1012,5783,8100
1013,5783,1370
1014,5786,4452
1015,5786,7916
1016,5786,8107
1017,5786,3001
1018,5715,8014
1019,5715,6967
1020,5715,1033
1021,5827,8074
1022,5827,6649
1023,5683,7966
1024,5683,3559
1025,5835,6643
1026,5835,8163
1027,5835,8164
1028,5843,8172
1029,5843,8173
1030,5843,6348
1031,5765,8073
1032,5765,8074
1033,5765,4018
1034,5765,6314
1035,5859,8191
1036,5859,6764
1037,5859,3292
1038,5859,4828
1039,5859,6765
1040,5990,6690
1041,5990,2150
1042,5990,6691
1043,5752,6553
1044,5752,6295
1045,5752,8058
1046,5752,3758
1047,5808,8139
1048,5808,2093
1049,5694,7983
1050,5694,1573
1051,5694,7984
1052,5834,7218
1053,5834,5303
1054,5891,8248
1055,5891,8249
1056,5891,4032
1057,5842,2467
1058,5842,8171
1059,5842,5077
1060,5690,1252
1061,5690,5364
1062,5690,7979
1063,5796,5523
1064,5796,8123
1065,5796,4280
1066,5796,8124
1067,5796,3697
1068,5796,3696
1069,5640,7880
1070,5640,5506
1071,5640,6522
1072,5872,8212
1073,5872,8213
1074,5872,8214
1075,5872,8215
1076,5872,8216
1077,5872,8217
1078,5795,6582
1079,5795,8121
1080,5795,8122
1081,5795,3001
1082,5795,3964
1083,5653,7909
1084,5653,7910
1085,5653,6533
1086,5653,7911
1087,5653,2205
1088,5653,178
1089,5763,8069
1090,5763,3606
1091,5763,7459
1092,5763,710
1093,5642,7189
1094,5642,7884
1095,5642,3585
1096,5642,583
1097,5801,8129
1098,5801,4762
1099,5809,6868
1100,5809,4089
1101,5809,8140
1102,5729,8026
1103,5729,8027
1104,5729,8028
1105,5727,6349
1106,5727,4953
1107,5645,4435
1108,5645,7891
1109,5645,5132
1110,5918,6408
1111,5918,4355
1112,6016,8412
1113,6016,8069
1114,6016,8413
1115,5887,8239
1116,5887,8240
1117,5887,8241
1118,5887,8242
1119,5887,8243
1120,5949,8308
1121,5949,7287
1122,5869,3394
1123,5869,8207
1124,5869,2539
1125,5757,8016
1126,5757,6471
1127,5757,3055
1128,5757,7222
1129,5823,8151
1130,5823,3472
1131,5693,7982
1132,5647,7895
1133,5647,178
1134,5647,7896
1135,5764,8070
1136,5764,8071
1137,5764,8072
1138,5764,4517
1139,5764,7862
1140,5741,7601
1141,5741,6347
1142,5741,8042
1143,5741,8043
1144,5741,2747
1145,5826,8154
1146,5826,8155
1147,5826,3964
1148,5643,3863
1149,5643,7885
1150,5732,4682
1151,5929,7629
1152,5929,7630
1153,5929,6653
1154,5989,6343
1155,5989,2630
1156,5989,8169
1157,5909,7412
1158,5909,7411
1159,5909,7413
1160,5909,8274
1161,5841,8169
1162,5841,8170
1163,5877,7228
1164,5877,6369
1165,5877,6368
1166,5770,4147
1167,5770,8083
1168,5770,4452
1169,5770,3001
1170,5748,8052
1171,5748,2559
1172,5987,7502
1173,5987,7501
1174,5987,7474
1175,5759,7488
1176,5759,1573
1177,5832,6349
1178,5832,8160
1179,5700,7991
1180,5700,5417
1181,5700,5418
1182,5698,7668
1183,5698,7987
1184,5698,7988
1185,5708,8001
1186,5708,1285
1187,5950,5506
1188,5950,7888
1189,5950,2816
1190,5950,6522
1191,5950,4509
1192,5950,2458
1193,5950,4379
1194,5689,7976
1195,5689,2318
1196,5689,7977
1197,5689,7978
1198,5680,7960
1199,5680,2992
1200,5883,7133
1201,5883,6597
1202,5883,6369
1203,5883,6368
1204,5804,8135
1205,5804,1020
1206,6029,8433
1207,6029,2743
1208,5646,7892
1209,5646,7893
1210,5646,7894
1211,5646,4194
1212,5646,4729
1213,5874,8220
1214,5874,2312
1215,5684,7967
1216,5684,7968
1217,5684,7969
1218,5684,3161
1219,5844,8174
1220,5844,3451
1221,5844,3842
1222,5928,8294
1223,5928,3911
1224,5928,7292
1225,5810,5192
1226,5810,6621
1227,5895,4548
1228,5895,8256
1229,5895,6804
1230,5895,6780
1231,5825,7138
1232,5825,7292
1233,5739,8039
1234,5739,8040
1235,5739,893
1236,6009,8406
1237,6009,4667
1238,6009,1019
1239,5965,8339
1240,5965,8340
1241,5965,1926
1242,5965,2187
1243,5940,8298
1244,5940,6366
1245,5940,6368
1246,5660,7186
1247,5660,6559
1248,5660,3862
1249,5860,8192
1250,5860,7993
1251,5860,3559
1252,5860,2133
1253,5658,7927
1254,5658,3559
1255,5775,7195
1256,5775,3292
1257,5775,8089
1258,5979,5356
1259,5979,8060
1260,5979,7138
1261,5979,8369
1262,5979,3161
1263,5772,8084
1264,5772,7448
1265,5772,7449
1266,5995,8386
1267,5995,6349
1268,5995,4782
1269,5900,7499
1270,5900,8263
1271,5900,7474
1272,5900,7501
1273,5899,8261
1274,5899,5523
1275,5899,8262
1276,5899,2686
1277,5672,7947
1278,5672,7948
1279,5672,6745
1280,5672,7949
1281,5672,7950
1282,5672,3982
1283,5947,8307
1284,5947,7903
1285,5947,7904
1286,5947,2813
1287,5947,7190
1288,5675,7954
1289,5675,7658
1290,5675,4524
1291,5675,1904
1292,5669,7944
1293,5669,6452
1294,5669,4085
1295,5636,7872
1296,5636,7873
1297,5636,7874
1298,5636,863
1299,5924,7160
1300,5924,8290
1301,5924,7476
1302,5839,5296
1303,5839,8166
1304,5839,8167
1305,5792,8118
1306,5792,7967
1307,5792,4523
1308,5792,3161
1309,5792,2077
1310,5674,7953
1311,5674,1925
1312,5674,1821
1313,5756,3402
1314,5756,7541
1315,5756,7542
1316,5745,8439
1317,5745,8440
1318,5745,6677
1319,5666,205
1320,5666,7632
1321,5666,7633
